the_geom,cartodb_id,objectid,date_inven,species,dbh,condition,site_type,site_width,wires,site_devel,site_size,notes,address,neighborho,collected_,planted_by,plant_date,scientific,family,genus,common,functional,size,edible,species_de
0101000020E61000009E980C7CA1A45EC0A6FC1F5DAFC94640,213167,213167,2016-09-22 17:47:40+00,FR,12.6,Fair,median,21,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000009B28D6BCA2A45EC04C05B1E8B3C94640,213168,213168,2016-09-22 17:47:40+00,ACPL,15.9,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000BB99AFBCA1A45EC0F9D48F3DB6C94640,213169,213169,2016-09-22 17:47:40+00,ACPL,13.1,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000040715EDA9FA45EC0F1652467BAC94640,213170,213170,2016-09-22 17:47:40+00,ACPL,14.4,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000029DCBCEC97A45EC0CD3ADACBCBC94640,213171,213171,2016-09-22 17:47:40+00,ACPL,13.5,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000FBD3313DA1A45EC0A11BDC47B1C94640,213172,213172,2016-09-22 17:47:40+00,FR,10,Fair,median,21,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000E073FB24A6A45EC0AF4868CCADC94640,213174,213174,2016-09-22 17:47:40+00,ACPL,15.8,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000009952ED9A0A45EC0C0433842B8C94640,213175,213175,2016-09-22 17:47:40+00,ACPL,14.7,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000FAC1182C9DA45EC068EBFD69C0C94640,213176,213176,2016-09-22 17:47:40+00,ACPL,14.4,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000003AF5D46D88A45EC0291A797EE0C94640,213177,213177,2016-09-22 17:47:40+00,ACPL,12.9,Fair,strip,12.5,None,Improved,Large,,7505 NE AMBASSADOR PL,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000018D79FF289A45EC0470072A7DBC94640,213179,213179,2016-09-22 17:47:40+00,FR,7.8,Fair,median,8,None,Improved,Large,,7505 NE AMBASSADOR PL,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000393E7A2E7AA45EC02AE8A856E8C94640,213182,213182,2016-09-22 17:47:40+00,ACPL,15.8,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000093E1E63E4DA45EC070EACD5ED4C84640,213183,213183,2016-09-22 20:33:38+00,FR,3.5,Fair,strip,4.1,None,Improved,Medium,,9540 NE ALDERWOOD RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000FD7E99A14DA45EC002ACDB58D1C84640,213184,213184,2016-09-22 20:33:38+00,FR,3.4,Fair,strip,4.1,None,Improved,Medium,,9540 NE ALDERWOOD RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000C770E1A275A45EC04FD29A78E5C94640,213185,213185,2016-09-22 17:47:40+00,FR,8.7,Fair,median,14,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000008BA1E77071A45EC07D021CEBE5C94640,213186,213186,2016-09-22 17:47:40+00,FR,9.4,Fair,median,20,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000000A0E55E14BA45EC08B3BE6FADEC84640,213187,213187,2016-09-22 20:33:38+00,FR,4.1,Fair,strip,4.1,None,Improved,Medium,,9540 NE ALDERWOOD RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000005CDF11AA4BA45EC023A1AD9DE9C84640,213188,213188,2016-09-22 20:33:38+00,FR,3.5,Fair,strip,4.1,None,Improved,Medium,,NE 92ND AVE,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000006BF355896CA45EC04055D530E6C94640,213189,213189,2016-09-22 17:47:40+00,FR,10.4,Fair,median,20,None,Improved,Large,,NE CASCADES PKWY,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000000084DDF46BA45EC0E06E8598E9C94640,213190,213190,2016-09-22 17:47:40+00,ACPL,11.1,Fair,strip,12.5,None,Improved,Large,,NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000016614B5C4EA45EC0F0FFEA05E0C84640,213192,213192,2016-09-22 20:33:38+00,FR,4,Fair,strip,4,None,Improved,Medium,,8940 NE ALDERWOOD RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000000EC5112551A45EC06515E184D8C94640,213193,213193,2016-09-22 17:47:40+00,PY,7.9,Fair,cutout,4,None,Improved,Medium,,9109 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E610000083277DAE51A45EC0ACB14AD3D4C94640,213194,213194,2016-09-22 17:47:40+00,CH,5,Fair,median,20,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Chamaecyparis spp.,Cupressaceae,Chamaecyparis,false cypress,CE,M,no,
0101000020E61000001E97C9E651A45EC015832663D5C94640,213195,213195,2016-09-22 17:47:40+00,CH,4,Fair,median,19,None,Improved,Large,,9109 NE CASCADES PKWY,PDX,staff,,,Chamaecyparis spp.,Cupressaceae,Chamaecyparis,false cypress,CE,M,no,
0101000020E610000012AA090651A45EC000222306D4C94640,213197,213197,2016-09-22 17:47:40+00,PRCH,16.3,Fair,median,20,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Prunus spp.,Rosaceae,Prunus,cherry,BD,S,no,
0101000020E6100000D53B4A8D59A45EC08948B9F8F2C84640,213198,213198,2016-09-22 20:33:38+00,QU,11.8,Fair,curbtight,,None,Improved,Large,,8940-9120 NE ALDERWOOD RD,PDX,staff,,,Quercus spp.,Fagaceae,Quercus,"oak, deciduous",BD,L,no,
0101000020E6100000DC6897CA61A45EC0ED89E225F3C84640,213199,213199,2016-09-22 20:33:38+00,QU,11.5,Fair,curbtight,,None,Improved,Large,,8940-9120 NE ALDERWOOD RD,PDX,staff,,,Quercus spp.,Fagaceae,Quercus,"oak, deciduous",BD,L,no,
0101000020E61000003365633D42A45EC0697C0D66F3C84640,213200,213200,2016-09-22 21:09:51+00,QU,5.9,Fair,strip,15.5,None,Improved,Large,,NE 92ND AVE,PDX,staff,,,Quercus spp.,Fagaceae,Quercus,"oak, deciduous",BD,L,no,
0101000020E610000017FC837D72A45EC01DDD8D8DE6C94640,213202,213202,2016-09-22 17:47:40+00,FR,10.1,Fair,median,20,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E610000031B980344CA45EC0C349693CDCC84640,213203,213203,2016-09-22 20:33:38+00,FR,3.7,Fair,strip,4.1,None,Improved,Medium,,9540 NE ALDERWOOD RD,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E610000006A095AB4BA45EC0D5E05547E6C84640,213204,213204,2016-09-22 20:33:38+00,FR,4.6,Fair,strip,4.1,None,Improved,Medium,,NE 92ND AVE,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000004B14B3C070A45EC062839A9FE6C94640,213205,213205,2016-09-22 17:47:40+00,FR,9.1,Fair,median,20,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000E76B21E56FA45EC0783D52CEE9C94640,213206,213206,2016-09-22 17:47:40+00,ACPL,12.7,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000B0F403C64DA45EC0A246E76CDAC84640,213207,213207,2016-09-22 20:33:38+00,SA,6,Fair,median,8.5,None,Improved,Large,,8940 NE ALDERWOOD RD,PDX,staff,,,Salix spp.,Salicaceae,Salix,willow,BD,M,no,
0101000020E6100000FD21C43E4EA45EC054F189BBD6C84640,213208,213208,2016-09-22 20:33:38+00,SA,5.6,Fair,median,8.5,None,Improved,Large,,8940 NE ALDERWOOD RD,PDX,staff,,,Salix spp.,Salicaceae,Salix,willow,BD,M,no,
0101000020E61000007C09AF3563A45EC080B97DDAE3C94640,213209,213209,2016-09-22 17:47:40+00,FR,7.7,Fair,median,9,None,Improved,Large,,9109 NE CASCADES PKWY,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000005C927BFB5FA45EC0E836F7A5E5C94640,213211,213211,2016-09-22 17:47:40+00,ACPL,11.8,Fair,strip,12.5,None,Improved,Large,,9109 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000593B0BC74FA45EC0ACD26BC7D6C94640,213212,213212,2016-09-22 17:47:40+00,PY,6.6,Fair,cutout,4,None,Improved,Medium,,9109 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E6100000B162B5504DA45EC023773FE6DDC84640,213213,213213,2016-09-22 20:33:38+00,SA,5.9,Fair,median,8.5,None,Improved,Large,,8940 NE ALDERWOOD RD,PDX,staff,,,Salix spp.,Salicaceae,Salix,willow,BD,M,no,
